"Stage","Stage_win","Team","Yellow","Green","Polka_dot","White","Aggressive"
"Stage_11","rd181","QUI","rd001","rd181","rd113","rd201","rd133"
"Stage_10","rd181","QUI","rd001","rd181","rd113","rd201","rd158"
"Stage_9","rd088","CAN","rd001","rd181","rd113","rd201","rd113"
"Stage_8","rd173","DIR","rd001","rd181","rd173","rd201","rd173"
"Stage_7","rd181","QUI","rd001","rd181","rd021","rd201","rd089"
"Stage_6","rd181","QUI","rd001","rd124","rd021","rd201","rd035"
"Stage_5","rd021","AST","rd001","rd124","rd021","rd201","rd189"
"Stage_4","rd124","FDJ","rd008","rd124","rd084","rd042","rd213"
"Stage_3","rd131","BOR","rd008","rd181","rd084","rd042","rd173"
"Stage_2","rd181","QUI","rd008","rd181","rd086","rd093","rd211"
"Stage_1","rd008","SKY","rd008","rd008",NA,"rd093",NA
