"Stage","Stage_win","Team","Yellow","Green","Polka_dot","White","Aggressive"
"Stage_21","Dylan Groenewegen (Ned)","LottoNL-Jumbo","Chris Froome (GBr)","Michael Matthews (Aus)","Warren Barguil (Fra)","Simon Yates (GBr)","Warren Barguil (Fra)"
"Stage_20","Maciej Bodnar (Pol)","Bore-Hansgrohe","Chris Froome (GBr)","Michael Matthews (Aus)","Warren Barguil (Fra)","Simon Yates (GBr)",NA
"Stage_19","Edvald Boasson Hagen (Nor)","Dimension Data","Chris Froome (GBr)","Michael Matthews (Aus)","Warren Barguil (Fra)","Simon Yates (GBr)","Jens Keulekeire (Bel)"
"Stage_18","Warren Barguil (Fra)","Team Sunweb","Chris Froome (GBr)","Michael Matthews (Aus)","Warren Barguil (Fra)","Simon Yates (GBr)","Darwin Atapuma (Col)"
"Stage_17","Primoz Roglic (Slo)","LottoNL-Jumbo","Chris Froome (GBr)","Michael Matthews (Aus)","Warren Barguil (Fra)","Simon Yates (GBr)","Alberto Contador (Esp)"
"Stage_16","Michael Matthews (Aus)","Team Sunweb","Chris Froome (GBr)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Sylvain Chavanel (Fra)"
"Stage_15","Bauke Mollema (Ned)","Trek-Segofrego","Chris Froome (GBr)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Bauke Mollema (Ned)"
"Stage_14","Michael Matthews (Aus)","Team Sunweb","Chris Froome (GBr)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Thomas De Gendt (Bel)"
"Stage_13","Warren Barguil (Fra)","Team Sunweb","Fabio Aru (Ita)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Alberto Contador (Esp)"
"Stage_12","Romain Bardet (Fra)","Ag2r La Mondiale","Fabio Aru (Ita)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Steve Cummings (GBr)"
"Stage_11","Marcel Kittel (Ger)","Quick-Step Floors","Chris Froome (GBr)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Maciej Bodnar (Pol)"
"Stage_10","Marcel Kittel (Ger)","Quick-Step Floors","Chris Froome (GBr)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Elie Gesbert (Fra)"
"Stage_9","Rigoberto Uran (Col)","Cannondale-Drapac","Chris Froome (GBr)","Marcel Kittel (Ger)","Warren Barguil (Fra)","Simon Yates (GBr)","Warren Barguil (Fra)"
"Stage_8","Lilian Calmejane (Fra)","Direct Energie","Chris Froome (GBr)","Marcel Kittel (Ger)","Lilian Calmejane (Fra)","Simon Yates (GBr)","Lilian Calmejane (Fra)"
"Stage_7","Marcel Kittel (Ger)","Quick-Step Floors","Chris Froome (GBr)","Marcel Kittel (Ger)","Fabio Aru (Ita)","Simon Yates (GBr)","Dylan Van Baarle (Ned)"
"Stage_6","Marcel Kittel (Ger)","Quick-Step Floors","Chris Froome (GBr)","Arnaud Demare (Fra)","Fabio Aru (Ita)","Simon Yates (GBr)","Vegard Stake Laengen (Nor)"
"Stage_5","Fabio Aru (Ita)","Astana","Chris Froome (GBr)","Arnaud Demare (Fra)","Fabio Aru (Ita)","Simon Yates (GBr)","Philippe Gilbert (Bel)"
"Stage_4","Arnaud Demare (Fra)","FDJ","Geraint Thomas (GBr)","Arnaud Demare (Fra)","Nathan Brown (USA)","Pierre Latour (Fra)","Guillaume Van Keirsbulck (Bel)"
"Stage_3","Peter Sagan (Svk)","Bore-Hansgrohe","Geraint Thomas (GBr)","Marcel Kittel (Ger)","Nathan Brown (USA)","Pierre Latour (Fra)","Lilian Calmejane (Fra)"
"Stage_2","Marcel Kittel (Ger)","Quick-Step Floors","Geraint Thomas (GBr)","Marcel Kittel (Ger)","Taylor Phinney (USA)","Stefan Kung (Sui)","Yoann Offredo (Fra)"
"Stage_1","Geraint Thomas (GBr)","Sky","Geraint Thomas (GBr)","Geraint Thomas (GBr)",NA,"Stefan Kung (Sui)",NA
