Sky,SKY,rd001,Chris Froome (GBr)
Sky,SKY,rd002,Sergio Henao (Col)
Sky,SKY,rd003,Christian Knees (Ger)
Sky,SKY,rd004,Mikel Landa (Esp)
Sky,SKY,rd005,Mikel Nieve (Esp)
Sky,SKY,rd006,Michal Kwiatkowski (Pol)
Sky,SKY,rd007,Luke Rowe (GBr)
Sky,SKY,rd008,Geraint Thomas (GBr)
Sky,SKY,rd009,Vasil Kiryienka (Blr)
Movistar,MOV,rd011,Nairo Quintana (Col)
Movistar,MOV,rd012,Andrey Amador (Crc)
Movistar,MOV,rd013,Daniele Bennati (Ita)
Movistar,MOV,rd014,Carlos Betancur (Col)
Movistar,MOV,rd015,Jonathan Castroviejo (Esp)
Movistar,MOV,rd016,Imanol Erviti (Esp)
Movistar,MOV,rd017,Jesus Herrada (Esp)
Movistar,MOV,rd018,Jasha Sutterlin (Ger)
Movistar,MOV,rd019,Alejandro Valverde (Esp)
Astana,AST,rd021,Fabio Aru (Ita)
Astana,AST,rd022,Jakob Fuglsang (Den)
Astana,AST,rd023,Michael Valgren (Den)
Astana,AST,rd024,Alexey Lutsenko (Kaz)
Astana,AST,rd025,Andriy Grivko (Ukr)
Astana,AST,rd026,Andrey Zeits (Kaz)
Astana,AST,rd027,Dmitriy Gruzdev (Kaz)
Astana,AST,rd028,Dario Cataldo (Ita)
Astana,AST,rd029,Bakhtyar Kozhatayev (Kaz)
UAE Team Emirates,UAE,rd031,Louis Meintjes (RSA)
UAE Team Emirates,UAE,rd032,Darwin Atapuma (Col)
UAE Team Emirates,UAE,rd033,Matteo Bono (Ita)
UAE Team Emirates,UAE,rd034,Kristijan Durasek (Cro)
UAE Team Emirates,UAE,rd035,Vegard Stake Laengen (Nor)
UAE Team Emirates,UAE,rd036,Manuele Mori (Ita)
UAE Team Emirates,UAE,rd037,Marco Marcato (Ita)
UAE Team Emirates,UAE,rd038,Ben Swift (GBr)
UAE Team Emirates,UAE,rd039,Diego Ulissi (Ita)
Ag2r La Mondiale,AG2,rd041,Romain Bardet (Fra)
Ag2r La Mondiale,AG2,rd042,Pierre Latour (Fra)
Ag2r La Mondiale,AG2,rd043,Alexis Vuillermoz (Fra)
Ag2r La Mondiale,AG2,rd044,Oliver Naesen (Bel)
Ag2r La Mondiale,AG2,rd045,Mathias Frank (Swi)
Ag2r La Mondiale,AG2,rd046,Axel Domont (Fra)
Ag2r La Mondiale,AG2,rd047,Jan Bakelants (Bel)
Ag2r La Mondiale,AG2,rd048,Ben Gastauer (Lux)
Ag2r La Mondiale,AG2,rd049,Cyril Gautier (Fra)
LottoNL-Jumbo,LTN,rd051,Primoz Roglic (Slo)
LottoNL-Jumbo,LTN,rd052,Tom Leezer (Ned)
LottoNL-Jumbo,LTN,rd053,George Bennett (NZl)
LottoNL-Jumbo,LTN,rd054,Dylan Groenewegen (Ned)
LottoNL-Jumbo,LTN,rd055,Robert Gesink (Ned)
LottoNL-Jumbo,LTN,rd056,Jos van Emden (Ned)
LottoNL-Jumbo,LTN,rd057,Paul Martens (Ger)
LottoNL-Jumbo,LTN,rd058,Timo Roosen (Ned)
LottoNL-Jumbo,LTN,rd059,Robert Wagner (Ger)
Trek-Segofrego,TRK,rd061,Alberto Contador (Esp)
Trek-Segofrego,TRK,rd062,John Degenkolb (Ger)
Trek-Segofrego,TRK,rd063,Koen de Kort (Ned)
Trek-Segofrego,TRK,rd064,Fabio Felline (Ita)
Trek-Segofrego,TRK,rd065,Michal Gogl (Aut)
Trek-Segofrego,TRK,rd066,Markel Irizar (Esp)
Trek-Segofrego,TRK,rd067,Bauke Mollema (Ned)
Trek-Segofrego,TRK,rd068,Jarlinson Pantano (Col)
Trek-Segofrego,TRK,rd069,Haimar Zubeldia (Esp)
Bahrain Merida,BAH,rd071,Sonny Colbrelli (Ita)
Bahrain Merida,BAH,rd072,Ion Izagirre (Esp)
Bahrain Merida,BAH,rd073,Yukiya Arashiro (Jpn)
Bahrain Merida,BAH,rd074,Grega Bole (Slo)
Bahrain Merida,BAH,rd075,Borut Bozic (Slo)
Bahrain Merida,BAH,rd076,Janez Brajkovic (Slo)
Bahrain Merida,BAH,rd077,Ondrej Cink (Cze)
Bahrain Merida,BAH,rd078,Tsgabu Grmay (Eri)
Bahrain Merida,BAH,rd079,Javier Moreno (Esp)
Cannondale-Drapac,CAN,rd081,Andrew Talansky (USA)
Cannondale-Drapac,CAN,rd082,Alberto Bettiol (Ita)
Cannondale-Drapac,CAN,rd083,Patrick Bevin (NZl)
Cannondale-Drapac,CAN,rd084,Nathan Brown (USA)
Cannondale-Drapac,CAN,rd085,Simon Clarke (Aus)
Cannondale-Drapac,CAN,rd086,Taylor Phinney (USA)
Cannondale-Drapac,CAN,rd087,Pierre Rolland (Fra)
Cannondale-Drapac,CAN,rd088,Rigoberto Uran (Col)
Cannondale-Drapac,CAN,rd089,Dylan Van Baarle (Ned)
BMC Racing,BMC,rd091,Richie Porte (Aus)
BMC Racing,BMC,rd092,Damiano Caruso (Ita)
BMC Racing,BMC,rd093,Stefan Kung (Sui)
BMC Racing,BMC,rd094,Nicholas Roche (Irl)
BMC Racing,BMC,rd095,Alessandro De Marchi (Ita)
BMC Racing,BMC,rd096,Amael Moinard (Fra)
BMC Racing,BMC,rd097,Michael Schar (Sui)
BMC Racing,BMC,rd098,Greg Van Avermaet (Bel)
BMC Racing,BMC,rd099,Danilo Wyss (Sui)
Dimension Data,DIM,rd101,Mark Cavendish (GBr)
Dimension Data,DIM,rd102,Steve Cummings (GBr)
Dimension Data,DIM,rd103,Edvald Boasson Hagen (Nor)
Dimension Data,DIM,rd104,Bernhard Eisel (Aut)
Dimension Data,DIM,rd105,Reinardt Janse van Rensburg (RSA)
Dimension Data,DIM,rd106,Serge Pauwels (Bel)
